ファイル名,作品名,作家名,訳者名
000019/59998_ruby_utf8_idachanno_ohana.txt,イーダちゃんのお花,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000019/60068_ruby_utf8_ningyo_tsukai.txt,人形つかい,アンデルセン ハンス・クリスチャン,矢崎源九郎訳
000020/195_ruby_utf8_kawaisona_ane.txt,可哀相な姉,渡辺 温,
000020/220_ruby_utf8_aru_hahano_hanashi.txt,或る母の話,渡辺 温,
000020/2223_ruby_utf8_esugata.txt,絵姿 The Portrate of Dorian Gray,渡辺 温,
000020/229_ruby_utf8_chichio_ushinau_hanashi.txt,父を失う話,渡辺 温,
000020/2316_ruby_utf8_heitaino_shi.txt,兵隊の死,渡辺 温,
000020/2569_ruby_utf8_aa_kazokusama.txt,ああ華族様だよ　と私は嘘を吐くのであった,渡辺 温,
000020/2570_ruby_utf8_kakiokini_tsuite.txt,遺書に就て,渡辺 温,
000020/2571_ruby_utf8_androgynous.txt,アンドロギュノスの裔,渡辺 温,
000020/2572_ruby_utf8_akai_entotsu.txt,赤い煙突,渡辺 温,
000020/2573_ruby_utf8_fuusenbijin.txt,風船美人,渡辺 温,
000020/2574_ruby_utf8_sigatsubaka.txt,四月馬鹿,渡辺 温,
000020/373_ruby_utf8_hanayomeno_teisei.txt,花嫁の訂正 ――夫婦哲学――,渡辺 温,
000020/401_ruby_utf8_iwan.txt,イワンとイワンの兄,渡辺 温,
000020/44722_ruby_utf8_heishito_joyu.txt,兵士と女優,渡辺 温,
000020/4486_ruby_utf8_junengono_eigakai.txt,十年後の映画界,渡辺 温,
000020/4487_ruby_utf8_roman_shumisha.txt,浪漫趣味者として ―― Ibi omnis effusus labor ! ――,渡辺 温,
000020/46404_ruby_utf8_kooreru_hanayome.txt,氷れる花嫁,渡辺 温,
000020/512_ruby_utf8_koi.txt,恋,渡辺 温,
000020/55103_ruby_utf8_barano_onna.txt,薔薇の女,渡辺 温,
000020/55151_ruby_utf8_ushigomekan.txt,牛込館 映画館めぐり（十）,渡辺 温,
000020/744_ruby_utf8_shohai.txt,勝敗,渡辺 温,
000020/745_ruby_utf8_shojo.txt,少女,渡辺 温,
000020/746_ruby_utf8_silkhat.txt,シルクハット,渡辺 温,
000020/883_ruby_utf8_uso.txt,嘘,渡辺 温,
000020/949_ruby_utf8_zogeno_hai.txt,象牙の牌,渡辺 温,
